,slang,formal
0,& , dan
1,@ , di
2,1pun , satupun
3,22nya,dua-duanya
4,7an , tujuan
5,aaaaaaakkk,ah
6,aaaaahhhh,ah
7,aaaammmiiiinnnn,amin
8,aaahh,ah
9,aaamiiin,amin
10,aaamiiinnn,amin
11,aaamin,amin
12,aahh,ah
13,aama,sama
14,aamien,amien
15,aamiiiiinnn,amin
16,aamiiiinnnnn,amin
17,aamiiin,amin
18,aamiin,amin
19,aamiinin,amin
20,aamiinnn,amin
21,aamin,amin
22,ababil , abg labil
23,"abal""",abal-abal
24,abal2,abal-abal
25,abanggg,abang
26,abanggku,abangku
27,abeees,habis
28,abes,habis
29,abez,habis
30,abg,abang
31,abgnya,abangnya
32,abgnyaah,abangnya
33,abiiiiisssss,habis
34,abiiiss,habis
35,abis,habis
36,abis , habis
37,abis2,habis-habis
38,abiss,habis
39,abisss,habis
40,abiz,habis
41,abizzz,habis
42,abizzzz,habis
43,abs,habis
44,acc , accord
45,accord , sesuai
46,acra,acara
47,ad,ada
48,ad , ada
49,ada2,ada-ada
50,adaa,ada
51,adain,mengadakan
52,adapin,menghadapi
53,add,ada
54,ade,adek
55,adeeek,adek
56,adek2,adek-adek
57,adekx,adeknya
58,ademm,adem
59,ademmm,adem
60,adengan,adegan
61,adenya,adeknya
62,adeuh,aduh
63,adiik,adik
64,adkah,adakah
65,adl,adalah
66,adl , adalah
67,adlah , adalah
68,adlh,adalah
69,adlh , adalah
70,administ , administrasi
71,adoh , aduh
72,aduhh,aduh
73,aduhhh,aduh
74,aduhhhhhhhhh,aduh
75,aduuh,aduh
76,aduuhh,aduh
77,aduuhhh,aduh
78,aduuhhhh,aduh
79,aduuuh,aduh
80,adyem,adem
81,ae,saja
82,aee,saja
83,aelah,alah
84,aer,air
85,afaik , as far as i know
86,agama'ny,agamanya
87,agan2,agan-agan
88,agk,agak
89,agma,agama
90,agma , agama
91,aha , tertawa
92,ahaha , haha
93,ahahahanjirrr,anjir
94,ahh,ah
95,ahhh,ah
96,ahhhh,ah
97,ahiok , ahok
98,ahoax , ahok
99,ahokncc , ahok
100,aing , saya
101,aj,saja
102,aj , aja
103,aj , saja
104,aja,saja
105,aja , saja
106,ajaa,saja
107,ajaaa,saja
108,ajaaahhhhh,saja
109,ajah,saja
110,ajahhh,saja
111,ajaibb,ajaib
112,ajaibbbbb,ajaib
113,ajak2 , ajak-ajak
114,ajakin,mengajak
115,ajarin,ajarkan
116,aje,saja
117,ajep-ajep , dunia gemerlap
118,ajh,saja
119,ajha,saja
120,ajhh,saja
121,ajibb,ajib
122,ajj,saja
123,ajj , saja
124,ajja,saja
125,ajjh,saja
126,ak,aku
127,ak , aku
128,aka , dikenal juga sebagai
129,akau,aku
130,akherat , akhirat
131,akhirt,akhirat
132,akhirx , akhirnya
133,akhlah,akhlak
134,akhrt,akhirat
135,akika , aku
136,akko , aku
137,akkoh , aku
138,akku , aku
139,akn,akan
140,akn , akan
141,aktifis2 , aktivis-aktivis
